Event (battle call or boost call),Red Tokens,Blue Tokens,Red Price,Blue Price,Lag
0,1000000,1000000,1,1,10
1,976393.1508,1023606.849,0.896002152,1.135827651,10
2,964539.1735,1035460.826,0.970606072,1.09605859,10
3,933320.5995,1066679.4,0.895197135,1.24088216,10
4,933320.5995,1066679.4,0.895197135,1.24088216,11
5,886183.6131,1113816.387,0.805455206,1.285458747,11
6,845305.5302,1154694.47,0.809668882,1.23927967,11
7,793649.5696,1206350.43,0.702081139,1.242120399,11
8,761053.0594,1238946.941,0.737776674,1.076478954,11
9,723726.0645,1276273.936,0.771228748,1.213759362,11
10,723726.0645,1276273.936,0.771228748,1.213759362,10
11,723726.0645,1276273.936,0.771228748,1.213759362,9
12,691704.7257,1308295.274,0.765209758,1.26400268,9
13,666712.9658,1333287.034,0.913900232,1.372925592,9
14,642798.7698,1357201.23,0.903742232,1.353556744,9
15,642798.7698,1357201.23,0.903742232,1.353556744,8
16,625513.1228,1374486.877,0.975340917,1.369426329,8
17,606904.3085,1393095.692,0.965430811,1.406447094,8
18,589157.1085,1410842.891,0.970510486,1.404592859,8
19,568662.6342,1431337.366,0.969902797,1.508806667,8
20,568662.6342,1431337.366,0.969902797,1.508806667,9
